,CT,CC
0,0.4423076923076924,0.8006656804733735
1,0.894230769230769,0.8006656804733735
2,0.9423076923076922,0.8006656804733735
3,1.307692307692307,0.8006656804733735
4,1.5192307692307685,0.8006656804733735
5,1.4519230769230758,0.8006656804733735
6,1.7884615384615377,0.8006656804733735
7,2.0288461538461533,0.8006656804733735
8,2.115384615384614,0.8006656804733735
9,1.8557692307692295,0.8006656804733735
10,1.6923076923076918,0.8006656804733735
11,1.6057692307692302,0.8006656804733735
12,1.519230769230768,0.8006656804733735
13,1.3846153846153837,0.8006656804733735
14,1.3365384615384606,0.8006656804733735
15,1.1826923076923073,0.8006656804733735
16,1.0769230769230766,0.8006656804733735
17,1.2884615384615377,0.8006656804733735
18,1.403846153846153,0.8006656804733735
19,1.5673076923076914,0.8006656804733735
20,1.576923076923076,0.8006656804733735
21,1.3749999999999998,0.8006656804733735
22,1.3076923076923077,0.8006656804733735
23,1.2115384615384612,0.8006656804733735
24,1.634615384615384,0.8005732248520717
25,1.8461538461538447,0.8005732248520717
26,1.7692307692307685,0.8005732248520717
27,1.596153846153845,0.8005732248520717
28,1.4230769230769225,0.8005732248520717
29,1.307692307692307,0.8005732248520717
30,1.5096153846153837,0.8004807692307699
31,1.5576923076923066,0.8004807692307699
32,1.490384615384614,0.8004807692307699
33,2.057692307692306,0.8003883136094682
34,2.201923076923075,0.8003883136094682
35,2.5480769230769207,0.8002034023668646
36,2.8749999999999964,0.8001109467455628
37,2.92307692307692,0.800018491124261
38,2.69230769230769,0.7999260355029593
39,2.519230769230767,0.7999260355029593
40,2.644230769230767,0.7998335798816575
41,2.307692307692306,0.7998335798816575
42,2.1923076923076903,0.7997411242603557
43,2.08653846153846,0.7992788461538468
44,2.08653846153846,0.7976146449704148
45,2.4999999999999987,0.7964127218934917
46,3.08653846153846,0.7953032544378703
47,3.3749999999999987,0.7936390532544383
48,4.605769230769237,0.7835613905325447
49,4.32692307692308,0.7835613905325447
50,4.259615384615385,0.7835613905325447
51,4.317307692307693,0.7835613905325447
52,4.096153846153844,0.7835613905325447
53,3.913461538461537,0.7835613905325447
54,4.173076923076922,0.7835613905325447
55,3.971153846153844,0.7835613905325447
56,4.048076923076921,0.7835613905325447
57,3.913461538461537,0.7835613905325447
58,3.913461538461537,0.7835613905325447
59,3.749999999999999,0.7835613905325447
60,3.769230769230766,0.7835613905325447
61,3.999999999999997,0.7835613905325447
62,3.778846153846152,0.7835613905325447
63,4.0384615384615365,0.7835613905325447
64,3.971153846153845,0.7921597633136102
65,3.894230769230768,0.7921597633136102
66,3.83653846153846,0.7923446745562136
67,3.615384615384612,0.7937315088757403
68,3.69230769230769,0.7975221893491131
69,3.7980769230769207,0.7987241124260361
70,3.6346153846153824,0.7989090236686397
71,3.855769230769228,0.7989090236686397
72,3.7980769230769207,0.7995562130177521
73,3.7403846153846128,0.800018491124261
74,4.115384615384613,0.8002034023668646
75,3.884615384615383,0.8002034023668646
76,3.846153846153845,0.8001109467455628
77,3.721153846153845,0.8001109467455628
78,3.884615384615383,0.8001109467455628
79,3.9999999999999982,0.7999260355029593
80,3.740384615384614,0.800018491124261
81,3.846153846153845,0.7998335798816575
82,4.009615384615382,0.7996486686390539
83,3.8269230769230753,0.7996486686390539
84,3.769230769230768,0.8005732248520717
85,4.028846153846152,0.8005732248520717
86,4.355769230769233,0.8005732248520717
87,4.259615384615388,0.8005732248520717
88,4.432692307692309,0.8005732248520717
89,4.711538461538463,0.8005732248520717
90,4.548076923076924,0.8005732248520717
91,4.375000000000003,0.8005732248520717
92,4.173076923076923,0.8005732248520717
93,5.048076923076924,0.7921597633136102
94,4.961538461538464,0.7921597633136102
95,4.721153846153847,0.7921597633136102
96,4.365384615384617,0.7921597633136102
97,4.153846153846153,0.7921597633136102
98,3.9519230769230735,0.7921597633136102
99,3.8846153846153824,0.7922522189349119
100,3.7307692307692286,0.7922522189349119
101,4.125000000000001,0.7922522189349119
102,4.336538461538464,0.7922522189349119
103,4.43269230769231,0.7922522189349119
104,4.307692307692311,0.7922522189349119
105,4.0961538461538485,0.7923446745562137
106,3.894230769230765,0.7926220414201189
107,3.615384615384612,0.7927144970414207
108,3.769230769230767,0.79632026627219
109,3.4711538461538445,0.7975221893491131
110,3.519230769230768,0.7982618343195274
111,3.509615384615384,0.7983542899408291
112,3.317307692307689,0.7990014792899415
113,3.634615384615381,0.800018491124261
114,3.4807692307692277,0.8001109467455628
115,3.961538461538459,0.8001109467455628
116,3.7980769230769207,0.8001109467455628
117,3.673076923076921,0.8002958579881664
118,3.5576923076923066,0.8003883136094682
119,3.4711538461538427,0.8003883136094682
120,3.451923076923074,0.8003883136094682
121,3.413461538461536,0.8003883136094682
122,3.1153846153846123,0.8003883136094682
123,2.9326923076923053,0.8004807692307699
124,2.951923076923075,0.8004807692307699
125,3.52884615384615,0.8004807692307699
126,3.759615384615382,0.8004807692307699
127,3.4999999999999987,0.8004807692307699
128,3.442307692307691,0.8004807692307699
129,3.230769230769229,0.8004807692307699
130,3.259615384615383,0.8004807692307699
131,3.336538461538459,0.8004807692307699
132,3.2019230769230744,0.8004807692307699
133,3.33653846153846,0.8004807692307699
134,3.2403846153846136,0.8004807692307699
135,3.1730769230769216,0.8004807692307699
136,3.1923076923076907,0.8004807692307699
137,3.557692307692306,0.8003883136094682
138,3.7019230769230753,0.8002958579881664
139,3.874999999999997,0.8002958579881664
140,3.7115384615384586,0.8002958579881664
141,3.461538461538459,0.8002958579881664
142,3.451923076923074,0.8002958579881664
143,3.4615384615384577,0.8002958579881664
